,nation,varieties1,varieties2,varieties3,varieties4,varieties5,varieties7,varieties7,varieties8,varieties9,varieties10,varieties11,abv,degree,sweet,acidity,body,tannin
74,11,88,308,178,316,316,316,316,316,316,316,316,16.5,13.5,1,3,3,3
75,11,88,178,308,316,316,316,316,316,316,316,316,16.5,13.5,1,3,4,3
76,11,88,178,308,316,316,316,316,316,316,316,316,16.5,14.5,1,3,5,4
77,11,0,316,316,316,316,316,316,316,316,316,316,16.5,14.5,1,3,5,4
78,11,88,178,316,316,316,316,316,316,316,316,316,17.0,13.5,1,3,3,2
79,11,88,178,321,316,316,316,316,316,316,316,316,16.5,13.5,1,3,4,3
80,11,88,308,178,316,316,316,316,316,316,316,316,16.5,14.5,1,3,5,4
81,11,151,178,316,316,316,316,316,316,316,316,316,17.5,13.5,1,4,4,4
82,6,308,316,316,316,316,316,316,316,316,316,316,17.0,14.5,1,3,3,3
83,6,178,316,316,316,316,316,316,316,316,316,316,17.0,14.5,1,4,3,3
84,6,308,316,316,316,316,316,316,316,316,316,316,17.0,12.5,2,4,3,3
85,6,178,316,316,316,316,316,316,316,316,316,316,17.0,12.5,2,3,3,2
86,6,298,316,316,316,316,316,316,316,316,316,316,17.0,14.5,1,3,3,3
87,6,67,316,316,316,316,316,316,316,316,316,316,10.0,14.0,1,2,3,1
88,6,308,316,316,316,316,316,316,316,316,316,316,16.0,13.5,1,3,2,3
89,6,298,316,316,316,316,316,316,316,316,316,316,18.0,13.5,2,4,3,3
90,6,67,316,316,316,316,316,316,316,316,316,316,9.0,12.5,2,3,2,1
91,6,211,316,316,316,316,316,316,316,316,316,316,11.0,11.5,2,4,2,1
92,6,275,316,316,316,316,316,316,316,316,316,316,7.0,12.0,5,1,4,1
93,6,298,316,316,316,316,316,316,316,316,316,316,17.0,14.5,1,3,3,3
94,24,308,316,316,316,316,316,316,316,316,316,316,17.0,12.5,1,3,3,3
95,24,178,236,316,316,316,316,316,316,316,316,316,17.0,12.0,1,3,3,3
96,24,308,316,316,316,316,316,316,316,316,316,316,17.0,14.0,1,3,4,4
