,id,name,producer,nation,local1,local2,local3,local4,varieties1,varieties2,varieties3,varieties4,varieties5,varieties6,varieties7,varieties8,varieties9,varieties10,varieties11,varieties12,type,use,degree,abv,sweet,acidity,body,tannin,price,year,ml,av_rating,src
1923,146102,1489 Vino Nobile de Montepulciano,Baroncini,Italy,Toscana,Montepulciano,0,0,Prugnolo Gentile,0,0,0,0,0,0,0,0,0,0,0,Red,Table,13.0,17.5,1,3,4,3,34000,2006,750,0,0
1924,146104,Tesco Soave Classico,Equipe SRL,Italy,Veneto,Soave,0,0,Garganega,0,0,0,0,0,0,0,0,0,0,0,White,"Appetizer, Table",12.0,11.0,1,4,1,1,12800,2008,750,0,0
1925,146105,Finest Old Vines Garnacha,Bodegas Aragonesas,Spain,Campo de Borja,0,0,0,Garnacha,0,0,0,0,0,0,0,0,0,0,0,Red,Table,13.5,17.0,1,3,3,3,21000,2012,750,0,0
1926,146106,Finest Old Vines Tempranillo,Bodegas Aragonesas,Spain,Campo de Borja,0,0,0,Tempranillo,0,0,0,0,0,0,0,0,0,0,0,Red,Table,13.0,17.5,1,3,3,3,21000,2011,750,0,0
1927,146108,"Finest, Premier Cru Brut Champagne",Union Champagne,France,Champagne,0,0,0,Chardonnay,Pinot Noir,0,0,0,0,0,0,0,0,0,0,Sparkling,Appetizer,12.0,5.0,1,4,4,1,69000,2012,750,0,0
1928,146116,Marquis Cabernet Sauvignon,Foncalieu,France,Cabernet Sauvignon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Red,Table,13.0,17.5,1,4,3,3,12800,2009,750,0,0
1929,146117,Marquis Merlot,Foncalieu,France,0,0,0,0,Merlot,0,0,0,0,0,0,0,0,0,0,0,Red,Table,13.0,17.5,1,3,2,2,12800,2008,750,0,0
1930,146134,Vinum 'The Scrapper',Vinum Cellars,USA,California,El Dorado County,El Dorado,0,Cabernet Franc,0,0,0,0,0,0,0,0,0,0,0,Red,Table,14.5,17.5,1,3,4,3,140000,2005,750,0,0
1931,146136,"Boisset Family Estates, L De Lyeth",Boisset Family Estates,USA,California,Sonoma County,Sonoma Valley,0,Sauvignon blanc,0,0,0,0,0,0,0,0,0,0,0,White,"Appetizer, Table",13.12,11.0,1,4,2,1,60000,2005,750,0,0
1932,146137,"La Sirena, Moscato Azul",La Sirena Wines,USA,California,Napa County,Napa Valley,0,Moscato,0,0,0,0,0,0,0,0,0,0,0,White,Table,13.0,11.0,1,3,3,1,200000,2017,750,0,0
1933,146139,"Sandalford, Estate Reserve Cabernet Sauvignon",Sandalford Wines,Australia,Western Australia,Margaret River,0,0,Cabernet Sauvignon,0,0,0,0,0,0,0,0,0,0,0,Red,Table,14.6,17.5,1,4,4,4,98000,2005,750,0,0
1934,146155,Rio Bueno Cabernet Sauvignon,Quien  Co,Chile,Central Valley,0,0,0,Cabernet Sauvignon,0,0,0,0,0,0,0,0,0,0,0,Red,Table,13.0,17.0,1,3,2,3,6900,2009,750,0,0
1935,146156,Rio Bueno Merlot,Quien  Co,Chile,Central Valley,0,0,0,Merlot,0,0,0,0,0,0,0,0,0,0,0,Red,Table,12.5,17.0,1,3,2,2,6900,2009,750,0,0
1936,146157,Rio Bueno Sauvignon Blanc,Quien  Co,Chile,Central Valley,0,0,0,Sauvignon blanc,0,0,0,0,0,0,0,0,0,0,0,White,Table,13.0,11.0,1,4,2,1,6900,2009,750,0,0
